ホーム,アウェイ,ホームスコア,アウェイスコア
ジュビロ磐田,川崎フロンターレ,0,2
セレッソ大阪,サンフレッチェ広島,5,2
アルビレックス新潟,浦和レッズ,1,6
横浜F・マリノス,ヴァンフォーレ甲府,1,0
鹿島アントラーズ,ヴィッセル神戸,1,2
清水エスパルス,サガン鳥栖,1,1
サガン鳥栖,横浜F・マリノス,1,0
ヴァンフォーレ甲府,ジュビロ磐田,0,0
ベガルタ仙台,FC東京,0,2
サンフレッチェ広島,ヴィッセル神戸,1,1
柏レイソル,セレッソ大阪,1,0
コンサドーレ札幌,大宮アルディージャ,1,0
川崎フロンターレ,アルビレックス新潟,3,0
ガンバ大阪,清水エスパルス,1,1
浦和レッズ,鹿島アントラーズ,0,1
セレッソ大阪,川崎フロンターレ,2,0
横浜F・マリノス,ガンバ大阪,0,1
ヴィッセル神戸,ヴァンフォーレ甲府,0,1
鹿島アントラーズ,サガン鳥栖,2,1
FC東京,サンフレッチェ広島,1,0
ジュビロ磐田,コンサドーレ札幌,2,2
大宮アルディージャ,浦和レッズ,1,0
アルビレックス新潟,柏レイソル,0,1
清水エスパルス,ベガルタ仙台,0,3
サガン鳥栖,ヴィッセル神戸,1,0
アルビレックス新潟,FC東京,0,3
鹿島アントラーズ,ジュビロ磐田,0,3
柏レイソル,横浜F・マリノス,2,0
ヴァンフォーレ甲府,セレッソ大阪,1,1
サンフレッチェ広島,ベガルタ仙台,3,3
浦和レッズ,コンサドーレ札幌,3,2
ガンバ大阪,大宮アルディージャ,6,0
川崎フロンターレ,清水エスパルス,2,2
ベガルタ仙台,鹿島アントラーズ,1,4
サンフレッチェ広島,横浜F・マリノス,0,1
ヴィッセル神戸,柏レイソル,1,2
ジュビロ磐田,サガン鳥栖,2,1
FC東京,浦和レッズ,0,1
セレッソ大阪,ガンバ大阪,2,2
コンサドーレ札幌,川崎フロンターレ,1,1
ヴァンフォーレ甲府,アルビレックス新潟,0,2
清水エスパルス,大宮アルディージャ,1,1
コンサドーレ札幌,FC東京,2,1
横浜F・マリノス,ジュビロ磐田,2,1
サガン鳥栖,アルビレックス新潟,3,0
鹿島アントラーズ,セレッソ大阪,0,1
大宮アルディージャ,ヴィッセル神戸,0,2
柏レイソル,清水エスパルス,0,2
川崎フロンターレ,ヴァンフォーレ甲府,1,1
浦和レッズ,ベガルタ仙台,7,0
ガンバ大阪,サンフレッチェ広島,0,1
ヴァンフォーレ甲府,コンサドーレ札幌,2,0
大宮アルディージャ,鹿島アントラーズ,0,1
FC東京,サガン鳥栖,3,3
ヴィッセル神戸,浦和レッズ,1,3
ジュビロ磐田,清水エスパルス,3,1
セレッソ大阪,横浜F・マリノス,2,0
アルビレックス新潟,ガンバ大阪,2,3
サンフレッチェ広島,柏レイソル,0,2
ベガルタ仙台,川崎フロンターレ,0,2
ガンバ大阪,浦和レッズ,1,1
FC東京,川崎フロンターレ,3,0
ヴィッセル神戸,ジュビロ磐田,1,0
セレッソ大阪,サガン鳥栖,1,0
柏レイソル,ベガルタ仙台,0,1
ヴァンフォーレ甲府,大宮アルディージャ,1,0
コンサドーレ札幌,サンフレッチェ広島,2,1
横浜F・マリノス,アルビレックス新潟,1,1
